採樣時間,測站名稱,經度,緯度,一氧化碳,一氧化氮,二氧化氮,氮氧化物,臭氧,懸浮微粒,細懸浮微粒,二氧化硫,甲烷,非甲烷碳氫化合物,總碳氫化合物,風向,風速,溫度,相對濕度,空氣品質指標
2018-05-03 20:00:00,興業站,120.989823,24.778000,0.38,0.5,12.8,13.2,47.0,47.0,35.0,2.6,2.23,0.14,2.36,54.0,2.2,20.6,77.4,87.0
2018-05-03 21:00:00,力行站,121.016270,24.766508,0.55,1.6,16.3,17.9,47.5,42.0,26.0,3.5,2.06,0.2,2.26,59.0,2.3,21.0,76.8,86.0
2018-05-03 21:00:00,興業站,120.989823,24.778000,0.35,0.6,12.7,13.3,43.7,42.0,27.0,2.9,2.23,0.18,2.41,50.0,1.9,20.9,76.2,86.0
2018-05-03 22:00:00,力行站,121.016270,24.766508,0.52,1.5,17.2,18.7,44.3,35.0,29.0,3.6,2.07,0.13,2.21,66.0,2.2,20.9,76.1,85.0
2018-05-03 22:00:00,興業站,120.989823,24.778000,0.32,0.4,12.3,12.7,42.7,39.0,25.0,2.8,2.23,0.21,2.44,55.0,1.6,20.8,74.9,85.0
2018-05-03 22:00:00,靜心湖站,121.01372,24.77834,0.57,0.6,8.0,18.7,47.3,41.0,24.4,0.0,1.88,0.54,2.42,47.6,1.3,21.0,74.6,85.0
2018-05-03 23:00:00,力行站,121.016270,24.766508,0.5,0.8,15.1,15.9,48.4,39.0,22.0,3.8,2.08,0.09,2.17,58.0,2.3,21.0,72.6,81.0
2018-05-03 23:00:00,興業站,120.989823,24.778000,0.33,0.4,13.2,13.5,41.3,38.0,25.0,3.1,2.2,0.2,2.4,48.0,1.8,20.9,72.0,81.0
2018-05-03 23:00:00,靜心湖站,121.01372,24.77834,0.52,0.5,8.9,15.9,47.1,31.0,22.6,0.6,1.87,0.52,2.39,21.7,1.4,21.3,71.0,81.0
2018-05-04 00:00:00,力行站,121.016270,24.766508,0.43,1.1,14.3,15.4,47.3,35.0,20.0,3.1,2.06,0.18,2.24,64.0,1.5,20.9,73.0,77.0
2018-05-04 00:00:00,興業站,120.989823,24.778000,0.52,0.3,11.7,12.0,42.6,34.0,22.0,3.4,2.16,0.21,2.36,53.0,1.4,20.8,72.2,77.0
2018-05-04 00:00:00,靜心湖站,121.01372,24.77834,0.53,0.5,6.6,15.4,48.6,28.0,19.0,0.9,1.78,0.52,2.3,39.5,0.8,21.1,72.0,77.0
2018-05-04 01:00:00,力行站,121.016270,24.766508,0.36,0.9,11.7,12.6,49.2,38.0,22.0,2.7,2.07,0.14,2.21,88.0,1.7,20.7,73.6,73.0
2018-05-04 01:00:00,興業站,120.989823,24.778000,0.46,0.1,8.6,8.7,45.7,28.0,18.0,3.5,2.22,0.17,2.38,75.0,1.5,20.8,72.6,73.0
2018-05-04 01:00:00,靜心湖站,121.01372,24.77834,0.49,0.4,4.6,12.6,49.7,33.0,17.1,0.8,1.77,0.51,2.28,66.9,0.6,21.0,72.3,73.0
2018-05-04 02:00:00,力行站,121.016270,24.766508,0.35,0.8,12.4,13.2,48.6,35.0,18.0,2.3,2.04,0.15,2.19,74.0,1.7,20.9,72.8,68.0
2018-05-04 02:00:00,興業站,120.989823,24.778000,0.44,0.1,7.7,7.8,44.5,31.0,14.0,3.3,2.14,0.19,2.33,61.0,1.3,20.8,72.5,68.0
2018-05-04 02:00:00,靜心湖站,121.01372,24.77834,0.46,0.3,4.0,13.2,50.1,31.0,22.6,0.6,1.76,0.5,2.26,39.4,0.7,21.1,71.6,68.0
2018-05-04 03:00:00,力行站,121.016270,24.766508,0.33,1.4,11.7,13.0,46.1,35.0,17.0,2.7,2.0,0.14,2.14,81.0,2.0,20.6,74.4,66.0
2018-05-04 03:00:00,興業站,120.989823,24.778000,0.39,0.2,6.8,7.0,44.6,32.0,13.0,3.0,2.12,0.22,2.34,74.0,1.5,20.7,73.5,64.0
2018-05-04 03:00:00,靜心湖站,121.01372,24.77834,0.43,0.3,3.4,13.0,48.3,32.0,17.1,0.6,1.75,0.48,2.23,66.3,0.7,20.9,73.3,66.0
2018-05-04 04:00:00,力行站,121.016270,24.766508,0.33,0.9,12.7,13.5,42.4,30.0,14.0,2.5,2.01,0.14,2.15,84.0,1.8,20.5,76.2,60.0
2018-05-04 04:00:00,興業站,120.989823,24.778000,0.4,0.2,8.0,8.2,42.2,32.0,14.0,2.8,2.14,0.19,2.33,59.0,1.2,20.6,74.8,60.0
2018-05-04 04:00:00,靜心湖站,121.01372,24.77834,0.44,0.6,2.6,13.5,46.4,25.0,15.3,0.4,1.76,0.44,2.2,52.3,0.6,20.7,74.9,60.0
2018-05-04 05:00:00,力行站,121.016270,24.766508,0.33,1.3,14.8,16.1,37.9,30.0,16.0,2.4,2.01,0.14,2.14,84.0,1.9,20.5,76.5,56.0
2018-05-04 05:00:00,興業站,120.989823,24.778000,0.38,0.4,7.2,7.6,40.8,27.0,13.0,3.5,2.15,0.2,2.34,63.0,1.5,20.6,75.0,56.0
2018-05-04 05:00:00,靜心湖站,121.01372,24.77834,0.44,0.5,3.4,16.1,43.2,31.0,15.3,0.5,1.77,0.47,2.24,65.9,0.6,20.7,75.7,56.0
2018-05-04 06:00:00,力行站,121.016270,24.766508,0.34,3.2,15.8,19.0,37.0,26.0,12.0,2.7,1.98,0.14,2.12,87.0,2.3,20.9,74.6,54.0
2018-05-04 06:00:00,興業站,120.989823,24.778000,0.41,0.4,9.2,9.6,38.0,28.0,12.0,3.0,2.15,0.18,2.33,66.0,1.6,21.1,73.4,54.0
2018-05-04 06:00:00,靜心湖站,121.01372,24.77834,0.48,0.6,6.0,19.0,39.3,28.0,14.4,0.3,1.84,0.49,2.33,81.6,0.6,21.2,74.2,54.0
2018-05-04 07:00:00,力行站,121.016270,24.766508,0.52,7.2,22.7,29.9,31.3,32.0,13.0,3.0,2.01,0.15,2.16,80.0,2.1,22.0,71.5,52.0
2018-05-04 07:00:00,興業站,120.989823,24.778000,0.56,1.4,14.0,15.4,33.6,29.0,14.0,3.4,2.17,0.16,2.33,61.0,1.5,22.2,69.7,52.0
2018-05-04 07:00:00,靜心湖站,121.01372,24.77834,0.58,1.0,8.6,29.9,38.1,24.0,13.5,0.4,1.82,0.51,2.33,66.5,0.9,22.3,70.0,52.0
2018-05-04 08:00:00,力行站,121.016270,24.766508,0.59,8.4,23.8,32.2,29.4,30.0,13.0,3.3,1.98,0.16,2.14,90.0,2.0,23.1,68.4,48.0
2018-05-04 08:00:00,興業站,120.989823,24.778000,0.66,2.5,18.1,20.6,31.4,23.0,10.0,3.9,2.16,0.16,2.32,85.0,1.6,23.3,66.9,48.0
2018-05-04 08:00:00,靜心湖站,121.01372,24.77834,0.67,1.8,11.6,32.2,36.1,25.0,9.9,0.7,1.82,0.51,2.33,86.0,0.8,23.6,66.2,48.0
2018-05-04 09:00:00,力行站,121.016270,24.766508,0.51,7.4,22.1,29.5,31.7,27.0,14.0,2.9,1.96,0.12,2.08,89.0,1.8,24.9,64.5,45.0
2018-05-04 09:00:00,興業站,120.989823,24.778000,0.57,2.5,16.5,19.0,33.7,27.0,11.0,3.5,2.16,0.18,2.34,63.0,1.3,25.3,61.9,45.0
2018-05-04 09:00:00,靜心湖站,121.01372,24.77834,0.62,1.8,10.0,29.5,39.2,32.0,11.7,0.7,1.84,0.48,2.32,57.8,0.8,25.1,62.6,45.0
2018-05-04 10:00:00,力行站,121.016270,24.766508,0.51,7.2,21.8,29.1,38.9,29.0,14.0,2.6,2.01,0.15,2.16,96.0,1.3,27.3,58.6,42.0
2018-05-04 10:00:00,興業站,120.989823,24.778000,0.49,3.0,14.4,17.4,40.0,23.0,9.0,3.9,2.15,0.14,2.29,100.0,1.1,27.3,57.2,42.0
2018-05-04 10:00:00,靜心湖站,121.01372,24.77834,0.59,1.9,8.2,29.1,47.5,21.0,16.2,0.6,1.85,0.43,2.28,37.6,0.6,27.2,57.9,42.0
2018-05-04 11:00:00,力行站,121.016270,24.766508,0.46,3.5,16.0,19.5,55.3,31.0,15.0,2.5,1.95,0.12,2.07,94.0,1.2,28.3,56.1,40.0
2018-05-04 11:00:00,興業站,120.989823,24.778000,0.48,2.1,14.3,16.4,52.7,25.0,13.0,4.4,2.12,0.18,2.3,69.0,0.9,28.9,53.4,40.0
2018-05-04 11:00:00,靜心湖站,121.01372,24.77834,0.56,1.2,6.4,19.5,62.2,28.0,11.7,0.8,1.83,0.45,2.28,57.3,0.3,28.7,54.3,40.0
2018-05-04 12:00:00,力行站,121.016270,24.766508,0.44,3.7,17.4,21.1,62.4,32.0,13.0,3.0,1.93,0.13,2.06,76.0,1.2,29.2,53.5,39.0
2018-05-04 12:00:00,興業站,120.989823,24.778000,0.38,0.9,10.1,11.0,66.0,25.0,13.0,4.2,2.09,0.25,2.33,60.0,1.1,29.5,51.5,39.0
2018-05-04 12:00:00,靜心湖站,121.01372,24.77834,0.54,0.7,5.1,21.1,70.7,29.0,13.5,0.7,1.87,0.43,2.3,83.9,0.5,29.5,52.0,39.0
2018-05-04 13:00:00,力行站,121.016270,24.766508,0.44,4.2,19.4,23.6,68.6,33.0,13.0,2.5,1.98,0.14,2.12,41.0,1.7,29.5,52.4,43.0
2018-05-04 13:00:00,興業站,120.989823,24.778000,0.38,0.8,10.0,10.8,70.4,27.0,13.0,4.0,2.1,0.23,2.32,48.0,1.3,30.4,49.4,43.0
2018-05-04 13:00:00,靜心湖站,121.01372,24.77834,0.54,0.6,4.7,23.6,75.3,26.0,15.3,0.8,1.9,0.42,2.32,37.6,0.8,29.9,51.0,43.0
2018-05-04 14:00:00,力行站,121.016270,24.766508,0.42,4.2,21.2,25.3,63.0,31.0,16.0,2.5,1.96,0.12,2.08,42.0,2.0,28.8,53.7,45.0
2018-05-04 14:00:00,興業站,120.989823,24.778000,0.44,0.6,10.7,11.3,66.1,30.0,14.0,3.6,2.08,0.18,2.25,54.0,1.3,29.5,51.1,45.0
2018-05-04 14:00:00,靜心湖站,121.01372,24.77834,0.52,0.6,4.8,25.3,71.4,25.0,14.4,0.9,1.9,0.46,2.36,47.0,0.8,29.4,52.2,45.0
2018-05-04 15:00:00,力行站,121.016270,24.766508,0.48,7.0,26.1,33.1,44.1,31.0,18.0,3.3,1.96,0.22,2.18,47.0,2.0,27.7,57.2,47.0
2018-05-04 15:00:00,興業站,120.989823,24.778000,0.48,0.8,15.2,16.0,49.4,27.0,16.0,3.9,2.09,0.18,2.27,68.0,1.3,28.0,56.0,47.0
2018-05-04 15:00:00,靜心湖站,121.01372,24.77834,0.55,0.7,7.4,33.1,54.3,24.0,12.6,1.0,1.88,0.53,2.41,45.4,0.7,27.9,56.4,47.0
2018-05-04 16:00:00,力行站,121.016270,24.766508,0.59,6.0,29.2,35.2,33.3,26.0,15.0,3.0,1.99,0.21,2.2,74.0,1.4,27.1,60.4,48.0
2018-05-04 16:00:00,興業站,120.989823,24.778000,0.52,1.2,17.8,19.0,38.0,36.0,15.0,3.8,2.13,0.22,2.35,66.0,1.3,27.2,58.3,48.0
2018-05-04 16:00:00,靜心湖站,121.01372,24.77834,0.58,1.0,9.8,35.2,44.2,29.0,14.4,1.1,1.89,0.49,2.38,29.0,0.6,27.0,59.6,48.0
2018-05-04 17:00:00,力行站,121.016270,24.766508,0.69,5.5,31.3,36.8,28.3,28.0,17.0,2.5,1.99,0.21,2.19,86.0,1.4,26.2,63.1,48.0
2018-05-04 17:00:00,興業站,120.989823,24.778000,0.71,1.1,21.9,23.0,29.8,39.0,14.0,3.9,2.14,0.29,2.43,65.0,1.3,26.3,61.9,48.0
2018-05-04 17:00:00,靜心湖站,121.01372,24.77834,0.64,0.9,12.8,36.8,38.7,32.0,15.3,0.6,1.88,0.52,2.4,40.8,0.8,26.3,61.8,48.0
2018-05-04 18:00:00,力行站,121.016270,24.766508,0.69,6.8,32.8,39.6,21.3,40.0,16.0,3.3,1.99,0.25,2.24,91.0,1.6,25.2,65.9,45.0
2018-05-04 18:00:00,興業站,120.989823,24.778000,0.79,1.4,26.6,28.0,23.5,26.0,13.0,3.9,2.13,0.31,2.44,80.0,1.6,25.2,65.5,45.0
2018-05-04 18:00:00,靜心湖站,121.01372,24.77834,0.75,0.7,17.4,39.6,30.0,27.0,15.3,0.5,1.9,0.55,2.45,85.1,0.6,25.4,64.6,45.0
2018-05-04 19:00:00,力行站,121.016270,24.766508,0.68,6.7,34.0,40.7,17.3,35.0,18.0,3.8,2.04,0.21,2.26,84.0,1.8,24.6,67.6,43.0
2018-05-04 19:00:00,興業站,120.989823,24.778000,0.78,1.8,27.5,29.3,19.9,20.0,13.0,3.9,2.16,0.25,2.41,74.0,1.5,24.7,66.8,43.0
2018-05-04 19:00:00,靜心湖站,121.01372,24.77834,0.72,0.6,17.0,40.7,27.6,25.0,13.5,0.4,1.9,0.59,2.49,73.9,0.5,24.7,66.6,43.0
2018-05-04 20:00:00,力行站,121.016270,24.766508,0.59,3.6,27.9,31.5,19.5,36.0,18.0,3.6,2.06,0.24,2.29,93.0,1.5,24.1,70.5,42.0
2018-05-04 20:00:00,興業站,120.989823,24.778000,0.67,1.4,25.4,26.8,19.5,26.0,12.0,3.8,2.15,0.27,2.42,92.0,1.0,24.3,69.3,42.0
2018-05-04 20:00:00,靜心湖站,121.01372,24.77834,0.72,0.6,16.8,31.5,24.2,28.0,19.0,0.4,1.95,0.54,2.49,86.4,0.6,24.4,68.4,42.0
2018-05-04 21:00:00,力行站,121.016270,24.766508,0.6,4.3,32.5,36.8,14.8,41.0,24.0,3.8,2.05,0.21,2.27,92.0,1.0,23.7,72.7,44.0
2018-05-04 21:00:00,興業站,120.989823,24.778000,0.69,4.9,36.4,41.3,13.4,24.0,16.0,3.9,2.15,0.21,2.37,121.0,1.2,24.0,71.0,44.0
2018-05-04 21:00:00,靜心湖站,121.01372,24.77834,0.74,0.5,18.6,36.8,21.0,27.0,16.2,0.9,1.93,0.51,2.44,107.8,0.4,24.1,69.7,44.0
2018-05-04 22:00:00,力行站,121.016270,24.766508,0.67,3.9,41.6,45.4,6.7,47.0,34.0,3.2,2.08,0.21,2.29,90.0,0.4,22.9,80.1,53.0
2018-05-04 22:00:00,興業站,120.989823,24.778000,0.76,3.9,46.3,50.2,15.0,54.0,32.0,4.0,2.15,0.23,2.37,164.0,1.2,24.5,74.2,53.0
2018-05-04 22:00:00,靜心湖站,121.01372,24.77834,0.89,0.6,25.8,45.4,11.4,29.0,24.4,1.0,2.0,0.65,2.65,76.4,0.1,23.6,76.0,53.0
2018-05-04 23:00:00,力行站,121.016270,24.766508,0.53,1.8,24.2,26.0,16.1,40.0,19.0,3.1,2.01,0.14,2.16,238.0,0.1,23.2,83.5,59.0
2018-05-04 23:00:00,興業站,120.989823,24.778000,0.65,1.4,25.8,27.2,27.4,38.0,26.0,4.1,2.09,0.17,2.26,166.0,1.1,24.8,76.7,59.0
2018-05-04 23:00:00,靜心湖站,121.01372,24.77834,0.92,0.8,25.1,26.0,6.8,36.0,20.8,0.9,2.13,0.67,2.8,66.5,0.1,23.6,79.4,59.0
2018-05-05 00:00:00,力行站,121.016270,24.766508,0.57,4.5,23.6,28.1,7.5,31.0,15.0,2.4,2.03,0.16,2.19,248.0,0.2,23.3,83.6,64.0
2018-05-05 00:00:00,興業站,120.989823,24.778000,0.65,0.8,23.6,24.4,30.5,48.0,26.0,4.4,2.15,0.34,2.49,189.0,0.9,24.6,78.9,64.0
2018-05-05 00:00:00,靜心湖站,121.01372,24.77834,0.78,0.9,19.6,28.1,14.0,30.0,21.7,0.4,2.2,0.66,2.86,308.3,0.0,24.2,79.3,64.0
2018-05-05 01:00:00,力行站,121.016270,24.766508,0.51,2.7,16.0,18.7,17.4,37.0,23.0,1.8,2.11,0.13,2.24,181.0,0.2,22.9,87.0,74.0
2018-05-05 01:00:00,興業站,120.989823,24.778000,0.73,3.2,36.9,40.1,7.7,53.0,37.0,5.4,2.31,0.22,2.53,163.0,0.8,23.8,83.3,74.0
2018-05-05 01:00:00,靜心湖站,121.01372,24.77834,0.66,0.5,14.6,18.7,22.4,41.0,29.9,0.9,1.99,0.62,2.61,332.7,0.1,23.9,83.6,74.0
2018-05-05 02:00:00,力行站,121.016270,24.766508,0.5,3.2,14.3,17.5,11.9,38.0,25.0,1.8,2.06,0.12,2.19,236.0,0.3,22.5,89.2,77.0
2018-05-05 02:00:00,興業站,120.989823,24.778000,0.7,2.3,31.0,33.3,17.0,65.0,36.0,6.0,2.17,0.34,2.51,172.0,0.8,23.6,85.1,77.0
2018-05-05 02:00:00,靜心湖站,121.01372,24.77834,0.7,0.3,17.5,17.5,18.5,44.0,29.9,1.1,2.02,0.59,2.61,290.5,0.1,23.4,87.0,77.0
2018-05-05 03:00:00,力行站,121.016270,24.766508,0.55,1.4,15.8,17.2,15.0,50.0,33.0,2.0,2.07,0.16,2.23,166.0,0.2,22.5,91.3,84.0
2018-05-05 03:00:00,興業站,120.989823,24.778000,0.71,2.2,35.0,37.2,14.7,65.0,40.0,5.6,2.27,0.37,2.63,162.0,0.9,23.5,86.2,84.0
2018-05-05 03:00:00,靜心湖站,121.01372,24.77834,0.73,0.4,17.7,17.2,16.9,58.0,38.1,1.3,1.98,0.59,2.57,216.2,0.2,23.6,86.6,84.0
2018-05-05 04:00:00,力行站,121.016270,24.766508,0.54,0.7,14.6,15.3,24.0,56.0,33.0,2.4,2.12,0.14,2.26,162.0,0.2,22.7,90.8,76.0
2018-05-05 04:00:00,興業站,120.989823,24.778000,0.74,2.4,31.9,34.2,14.8,67.0,40.0,6.3,2.34,0.24,2.58,160.0,1.0,23.4,87.6,91.0
2018-05-05 04:00:00,靜心湖站,121.01372,24.77834,0.76,0.7,26.2,15.3,19.7,60.0,49.0,1.7,1.98,0.63,2.61,172.6,0.1,23.6,87.1,76.0
2018-05-05 05:00:00,力行站,121.016270,24.766508,0.53,1.4,13.7,15.0,27.5,63.0,32.0,2.0,2.1,0.15,2.26,185.0,0.3,22.7,90.5,95.0
2018-05-05 05:00:00,興業站,120.989823,24.778000,0.69,1.1,27.8,28.9,26.9,75.0,41.0,5.5,2.34,0.28,2.62,179.0,0.6,23.4,86.9,95.0
2018-05-05 05:00:00,靜心湖站,121.01372,24.77834,0.71,0.6,22.0,15.0,23.5,63.0,47.2,1.1,2.03,0.59,2.62,134.9,0.1,23.4,88.3,95.0
2018-05-05 06:00:00,力行站,121.016270,24.766508,0.59,2.3,13.6,15.9,28.0,60.0,32.0,2.4,2.09,0.16,2.26,227.0,0.3,23.5,88.6,84.0
2018-05-05 06:00:00,興業站,120.989823,24.778000,0.73,1.9,25.8,27.8,25.4,73.0,41.0,5.5,2.33,0.26,2.59,167.0,0.7,23.9,85.7,99.0
2018-05-05 06:00:00,靜心湖站,121.01372,24.77834,0.64,0.8,13.5,15.9,35.6,58.0,35.3,1.8,1.95,0.54,2.49,269.2,0.1,24.2,83.9,84.0
2018-05-05 07:00:00,力行站,121.016270,24.766508,0.58,2.7,13.8,16.5,32.7,57.0,25.0,3.0,2.1,0.17,2.27,234.0,0.8,24.9,83.4,82.0
2018-05-05 07:00:00,興業站,120.989823,24.778000,0.67,2.6,20.5,23.2,26.5,60.0,26.0,5.7,2.23,0.28,2.51,242.0,0.8,24.6,85.2,96.0
2018-05-05 07:00:00,靜心湖站,121.01372,24.77834,0.66,1.2,11.4,16.5,33.5,55.0,29.9,1.7,1.91,0.5,2.41,143.4,0.1,25.2,81.7,82.0
2018-05-05 08:00:00,力行站,121.016270,24.766508,0.51,3.6,13.3,16.9,38.8,52.0,23.0,3.2,1.97,0.16,2.12,265.0,1.3,26.1,79.4,79.0
2018-05-05 08:00:00,興業站,120.989823,24.778000,0.54,1.3,8.8,10.1,41.0,44.0,14.0,5.7,2.1,0.19,2.29,290.0,1.7,25.6,81.4,89.0
2018-05-05 08:00:00,靜心湖站,121.01372,24.77834,0.6,2.4,12.7,16.9,37.8,47.0,23.5,1.3,1.87,0.41,2.28,269.5,0.5,26.5,76.9,79.0
2018-05-05 09:00:00,力行站,121.016270,24.766508,0.44,3.2,11.0,14.2,51.3,48.0,16.0,3.6,1.91,0.14,2.05,273.0,2.2,26.8,76.7,74.0
2018-05-05 09:00:00,興業站,120.989823,24.778000,0.57,1.1,7.1,8.2,48.2,50.0,16.0,5.9,2.09,0.22,2.31,307.0,2.0,26.6,77.1,81.0
2018-05-05 09:00:00,靜心湖站,121.01372,24.77834,0.54,1.2,6.8,14.2,50.4,46.0,19.9,1.9,1.81,0.48,2.29,317.7,0.8,27.5,73.8,74.0
2018-05-05 10:00:00,力行站,121.016270,24.766508,0.48,2.6,13.1,15.8,61.0,54.0,23.0,3.7,2.0,0.13,2.12,272.0,2.0,26.9,75.4,70.0
2018-05-05 10:00:00,興業站,120.989823,24.778000,0.56,1.0,8.3,9.4,53.8,55.0,24.0,6.5,2.17,0.2,2.36,324.0,2.3,26.4,76.7,75.0
2018-05-05 10:00:00,靜心湖站,121.01372,24.77834,0.54,1.1,5.9,15.8,60.3,51.0,23.5,1.8,1.84,0.47,2.31,308.8,0.9,27.6,72.7,70.0
2018-05-05 11:00:00,力行站,121.016270,24.766508,0.5,2.4,12.1,14.6,72.2,60.0,30.0,4.1,1.97,0.15,2.11,272.0,2.2,27.4,73.5,72.0
2018-05-05 11:00:00,興業站,120.989823,24.778000,0.58,0.9,8.1,8.9,65.2,55.0,24.0,6.1,2.16,0.21,2.36,322.0,1.8,26.9,74.3,74.0
2018-05-05 11:00:00,靜心湖站,121.01372,24.77834,0.58,1.0,6.3,14.6,70.4,50.0,27.1,2.1,1.88,0.47,2.35,316.1,1.0,28.0,71.2,72.0
