採樣時間,經度,緯度,一氧化碳,一氧化氮,二氧化氮,氮氧化物,臭氧,懸浮微粒,細懸浮微粒,二氧化硫,甲烷,非甲烷碳氫化合物,總碳氫化合物,風向,風速,溫度,相對濕度,空氣品質指標,空氣品質指標
43223.66667,121.01372,24.77834,0.59,1.1,11.9,27.4,45,33,23.5,0.3,1.97,0.56,2.53,16.9,1.6,21.8,78.6,1,81
43223.70833,121.01627,24.766508,0.71,4.5,27.2,31.7,37.4,44,30,4.2,2.07,0.25,2.31,62,2.7,21.1,81.5,1,81
43223.70833,120.989823,24.778,0.53,1.2,21,22.2,37.1,46,31,4,2.21,0.27,2.48,54,2,21.1,81.1,1,81
43223.70833,121.01372,24.77834,0.62,0.9,13.5,31.7,44.7,41,25.3,0.4,1.87,0.59,2.46,40,1.5,21.1,81.5,1,81
43223.75,121.01627,24.766508,0.71,4.3,25.7,30,38.5,46,24,4.1,2.06,0.24,2.3,60,2.7,20.7,82.1,1,81
43223.75,120.989823,24.778,0.53,1,20.4,21.4,38.6,45,29,3.8,2.21,0.19,2.4,57,2.3,20.6,81.6,1,81
43223.75,121.01372,24.77834,0.64,0.6,11.3,30,47.4,36,29,0.2,1.84,0.57,2.41,48.9,1.3,20.6,81.7,1,81
43223.79167,121.01627,24.766508,0.67,2.7,21.6,24.3,46.1,46,34,3.8,2.07,0.17,2.24,66,2.5,20.7,78.4,1,86
43223.79167,120.989823,24.778,0.44,0.6,15.6,16.2,46.2,47,34,3,2.24,0.23,2.47,55,2.3,20.6,78,1,86
43223.83333,121.01627,24.766508,0.58,2.1,16.3,18.4,49.2,42,30,3.9,2.06,0.16,2.23,50,2.6,20.8,77.3,1,87
43223.83333,120.989823,24.778,0.38,0.5,12.8,13.2,47,47,35,2.6,2.23,0.14,2.36,54,2.2,20.6,77.4,1,87
43223.875,121.01627,24.766508,0.55,1.6,16.3,17.9,47.5,42,26,3.5,2.06,0.2,2.26,59,2.3,21,76.8,1,86
43223.875,120.989823,24.778,0.35,0.6,12.7,13.3,43.7,42,27,2.9,2.23,0.18,2.41,50,1.9,20.9,76.2,1,86
43223.91667,121.01627,24.766508,0.52,1.5,17.2,18.7,44.3,35,29,3.6,2.07,0.13,2.21,66,2.2,20.9,76.1,1,85
43223.91667,120.989823,24.778,0.32,0.4,12.3,12.7,42.7,39,25,2.8,2.23,0.21,2.44,55,1.6,20.8,74.9,1,85
43223.91667,121.01372,24.77834,0.57,0.6,8,18.7,47.3,41,24.4,0,1.88,0.54,2.42,47.6,1.3,21,74.6,1,85
43223.95833,121.01627,24.766508,0.5,0.8,15.1,15.9,48.4,39,22,3.8,2.08,0.09,2.17,58,2.3,21,72.6,1,81
43223.95833,120.989823,24.778,0.33,0.4,13.2,13.5,41.3,38,25,3.1,2.2,0.2,2.4,48,1.8,20.9,72,1,81
43223.95833,121.01372,24.77834,0.52,0.5,8.9,15.9,47.1,31,22.6,0.6,1.87,0.52,2.39,21.7,1.4,21.3,71,1,81
43224,121.01627,24.766508,0.43,1.1,14.3,15.4,47.3,35,20,3.1,2.06,0.18,2.24,64,1.5,20.9,73,0,77
43224,120.989823,24.778,0.52,0.3,11.7,12,42.6,34,22,3.4,2.16,0.21,2.36,53,1.4,20.8,72.2,0,77
43224,121.01372,24.77834,0.53,0.5,6.6,15.4,48.6,28,19,0.9,1.78,0.52,2.3,39.5,0.8,21.1,72,0,77
43224.04167,121.01627,24.766508,0.36,0.9,11.7,12.6,49.2,38,22,2.7,2.07,0.14,2.21,88,1.7,20.7,73.6,0,73
43224.04167,120.989823,24.778,0.46,0.1,8.6,8.7,45.7,28,18,3.5,2.22,0.17,2.38,75,1.5,20.8,72.6,0,73
43224.04167,121.01372,24.77834,0.49,0.4,4.6,12.6,49.7,33,17.1,0.8,1.77,0.51,2.28,66.9,0.6,21,72.3,0,73
43224.08333,121.01627,24.766508,0.35,0.8,12.4,13.2,48.6,35,18,2.3,2.04,0.15,2.19,74,1.7,20.9,72.8,0,68
43224.08333,120.989823,24.778,0.44,0.1,7.7,7.8,44.5,31,14,3.3,2.14,0.19,2.33,61,1.3,20.8,72.5,0,68
43224.08333,121.01372,24.77834,0.46,0.3,4,13.2,50.1,31,22.6,0.6,1.76,0.5,2.26,39.4,0.7,21.1,71.6,0,68
43224.125,121.01627,24.766508,0.33,1.4,11.7,13,46.1,35,17,2.7,2,0.14,2.14,81,2,20.6,74.4,0,66
43224.125,120.989823,24.778,0.39,0.2,6.8,7,44.6,32,13,3,2.12,0.22,2.34,74,1.5,20.7,73.5,0,64
43224.125,121.01372,24.77834,0.43,0.3,3.4,13,48.3,32,17.1,0.6,1.75,0.48,2.23,66.3,0.7,20.9,73.3,0,66
43224.16667,121.01627,24.766508,0.33,0.9,12.7,13.5,42.4,30,14,2.5,2.01,0.14,2.15,84,1.8,20.5,76.2,0,60
43224.16667,120.989823,24.778,0.4,0.2,8,8.2,42.2,32,14,2.8,2.14,0.19,2.33,59,1.2,20.6,74.8,0,60
43224.16667,121.01372,24.77834,0.44,0.6,2.6,13.5,46.4,25,15.3,0.4,1.76,0.44,2.2,52.3,0.6,20.7,74.9,0,60
43224.20833,121.01627,24.766508,0.33,1.3,14.8,16.1,37.9,30,16,2.4,2.01,0.14,2.14,84,1.9,20.5,76.5,0,56
43224.20833,120.989823,24.778,0.38,0.4,7.2,7.6,40.8,27,13,3.5,2.15,0.2,2.34,63,1.5,20.6,75,0,56
43224.20833,121.01372,24.77834,0.44,0.5,3.4,16.1,43.2,31,15.3,0.5,1.77,0.47,2.24,65.9,0.6,20.7,75.7,0,56
43224.25,121.01627,24.766508,0.34,3.2,15.8,19,37,26,12,2.7,1.98,0.14,2.12,87,2.3,20.9,74.6,0,54
43224.25,120.989823,24.778,0.41,0.4,9.2,9.6,38,28,12,3,2.15,0.18,2.33,66,1.6,21.1,73.4,0,54
43224.25,121.01372,24.77834,0.48,0.6,6,19,39.3,28,14.4,0.3,1.84,0.49,2.33,81.6,0.6,21.2,74.2,0,54
43224.29167,121.01627,24.766508,0.52,7.2,22.7,29.9,31.3,32,13,3,2.01,0.15,2.16,80,2.1,22,71.5,0,52
43224.29167,120.989823,24.778,0.56,1.4,14,15.4,33.6,29,14,3.4,2.17,0.16,2.33,61,1.5,22.2,69.7,0,52
43224.29167,121.01372,24.77834,0.58,1,8.6,29.9,38.1,24,13.5,0.4,1.82,0.51,2.33,66.5,0.9,22.3,70,0,52
43224.33333,121.01627,24.766508,0.59,8.4,23.8,32.2,29.4,30,13,3.3,1.98,0.16,2.14,90,2,23.1,68.4,0,48
43224.33333,120.989823,24.778,0.66,2.5,18.1,20.6,31.4,23,10,3.9,2.16,0.16,2.32,85,1.6,23.3,66.9,0,48
43224.33333,121.01372,24.77834,0.67,1.8,11.6,32.2,36.1,25,9.9,0.7,1.82,0.51,2.33,86,0.8,23.6,66.2,0,48
43224.375,121.01627,24.766508,0.51,7.4,22.1,29.5,31.7,27,14,2.9,1.96,0.12,2.08,89,1.8,24.9,64.5,0,45
43224.375,120.989823,24.778,0.57,2.5,16.5,19,33.7,27,11,3.5,2.16,0.18,2.34,63,1.3,25.3,61.9,0,45
43224.375,121.01372,24.77834,0.62,1.8,10,29.5,39.2,32,11.7,0.7,1.84,0.48,2.32,57.8,0.8,25.1,62.6,0,45
43224.41667,121.01627,24.766508,0.51,7.2,21.8,29.1,38.9,29,14,2.6,2.01,0.15,2.16,96,1.3,27.3,58.6,0,42
43224.41667,120.989823,24.778,0.49,3,14.4,17.4,40,23,9,3.9,2.15,0.14,2.29,100,1.1,27.3,57.2,0,42
43224.41667,121.01372,24.77834,0.59,1.9,8.2,29.1,47.5,21,16.2,0.6,1.85,0.43,2.28,37.6,0.6,27.2,57.9,0,42
43224.45833,121.01627,24.766508,0.46,3.5,16,19.5,55.3,31,15,2.5,1.95,0.12,2.07,94,1.2,28.3,56.1,0,40
43224.45833,120.989823,24.778,0.48,2.1,14.3,16.4,52.7,25,13,4.4,2.12,0.18,2.3,69,0.9,28.9,53.4,0,40
43224.45833,121.01372,24.77834,0.56,1.2,6.4,19.5,62.2,28,11.7,0.8,1.83,0.45,2.28,57.3,0.3,28.7,54.3,0,40
43224.5,121.01627,24.766508,0.44,3.7,17.4,21.1,62.4,32,13,3,1.93,0.13,2.06,76,1.2,29.2,53.5,0,39
43224.5,120.989823,24.778,0.38,0.9,10.1,11,66,25,13,4.2,2.09,0.25,2.33,60,1.1,29.5,51.5,0,39
43224.5,121.01372,24.77834,0.54,0.7,5.1,21.1,70.7,29,13.5,0.7,1.87,0.43,2.3,83.9,0.5,29.5,52,0,39
43224.54167,121.01627,24.766508,0.44,4.2,19.4,23.6,68.6,33,13,2.5,1.98,0.14,2.12,41,1.7,29.5,52.4,0,43
43224.54167,120.989823,24.778,0.38,0.8,10,10.8,70.4,27,13,4,2.1,0.23,2.32,48,1.3,30.4,49.4,0,43
43224.54167,121.01372,24.77834,0.54,0.6,4.7,23.6,75.3,26,15.3,0.8,1.9,0.42,2.32,37.6,0.8,29.9,51,0,43
43224.58333,121.01627,24.766508,0.42,4.2,21.2,25.3,63,31,16,2.5,1.96,0.12,2.08,42,2,28.8,53.7,0,45
43224.58333,120.989823,24.778,0.44,0.6,10.7,11.3,66.1,30,14,3.6,2.08,0.18,2.25,54,1.3,29.5,51.1,0,45
43224.58333,121.01372,24.77834,0.52,0.6,4.8,25.3,71.4,25,14.4,0.9,1.9,0.46,2.36,47,0.8,29.4,52.2,0,45
43224.625,121.01627,24.766508,0.48,7,26.1,33.1,44.1,31,18,3.3,1.96,0.22,2.18,47,2,27.7,57.2,0,47
43224.625,120.989823,24.778,0.48,0.8,15.2,16,49.4,27,16,3.9,2.09,0.18,2.27,68,1.3,28,56,0,47
43224.625,121.01372,24.77834,0.55,0.7,7.4,33.1,54.3,24,12.6,1,1.88,0.53,2.41,45.4,0.7,27.9,56.4,0,47
43224.66667,121.01627,24.766508,0.59,6,29.2,35.2,33.3,26,15,3,1.99,0.21,2.2,74,1.4,27.1,60.4,0,48
43224.66667,120.989823,24.778,0.52,1.2,17.8,19,38,36,15,3.8,2.13,0.22,2.35,66,1.3,27.2,58.3,0,48
43224.66667,121.01372,24.77834,0.58,1,9.8,35.2,44.2,29,14.4,1.1,1.89,0.49,2.38,29,0.6,27,59.6,0,48
43224.70833,121.01627,24.766508,0.69,5.5,31.3,36.8,28.3,28,17,2.5,1.99,0.21,2.19,86,1.4,26.2,63.1,0,48
43224.70833,120.989823,24.778,0.71,1.1,21.9,23,29.8,39,14,3.9,2.14,0.29,2.43,65,1.3,26.3,61.9,0,48
43224.70833,121.01372,24.77834,0.64,0.9,12.8,36.8,38.7,32,15.3,0.6,1.88,0.52,2.4,40.8,0.8,26.3,61.8,0,48
43224.75,121.01627,24.766508,0.69,6.8,32.8,39.6,21.3,40,16,3.3,1.99,0.25,2.24,91,1.6,25.2,65.9,0,45
43224.75,120.989823,24.778,0.79,1.4,26.6,28,23.5,26,13,3.9,2.13,0.31,2.44,80,1.6,25.2,65.5,0,45
43224.75,121.01372,24.77834,0.75,0.7,17.4,39.6,30,27,15.3,0.5,1.9,0.55,2.45,85.1,0.6,25.4,64.6,0,45
43224.79167,121.01627,24.766508,0.68,6.7,34,40.7,17.3,35,18,3.8,2.04,0.21,2.26,84,1.8,24.6,67.6,0,43
43224.79167,120.989823,24.778,0.78,1.8,27.5,29.3,19.9,20,13,3.9,2.16,0.25,2.41,74,1.5,24.7,66.8,0,43
43224.79167,121.01372,24.77834,0.72,0.6,17,40.7,27.6,25,13.5,0.4,1.9,0.59,2.49,73.9,0.5,24.7,66.6,0,43
43224.83333,121.01627,24.766508,0.59,3.6,27.9,31.5,19.5,36,18,3.6,2.06,0.24,2.29,93,1.5,24.1,70.5,0,42
43224.83333,120.989823,24.778,0.67,1.4,25.4,26.8,19.5,26,12,3.8,2.15,0.27,2.42,92,1,24.3,69.3,0,42
43224.83333,121.01372,24.77834,0.72,0.6,16.8,31.5,24.2,28,19,0.4,1.95,0.54,2.49,86.4,0.6,24.4,68.4,0,42
43224.875,121.01627,24.766508,0.6,4.3,32.5,36.8,14.8,41,24,3.8,2.05,0.21,2.27,92,1,23.7,72.7,0,44
43224.875,120.989823,24.778,0.69,4.9,36.4,41.3,13.4,24,16,3.9,2.15,0.21,2.37,121,1.2,24,71,0,44
43224.875,121.01372,24.77834,0.74,0.5,18.6,36.8,21,27,16.2,0.9,1.93,0.51,2.44,107.8,0.4,24.1,69.7,0,44
43224.91667,121.01627,24.766508,0.67,3.9,41.6,45.4,6.7,47,34,3.2,2.08,0.21,2.29,90,0.4,22.9,80.1,0,53
43224.91667,120.989823,24.778,0.76,3.9,46.3,50.2,15,54,32,4,2.15,0.23,2.37,164,1.2,24.5,74.2,0,53
43224.91667,121.01372,24.77834,0.89,0.6,25.8,45.4,11.4,29,24.4,1,2,0.65,2.65,76.4,0.1,23.6,76,0,53
43224.95833,121.01627,24.766508,0.53,1.8,24.2,26,16.1,40,19,3.1,2.01,0.14,2.16,238,0.1,23.2,83.5,0,59
43224.95833,120.989823,24.778,0.65,1.4,25.8,27.2,27.4,38,26,4.1,2.09,0.17,2.26,166,1.1,24.8,76.7,0,59
43224.95833,121.01372,24.77834,0.92,0.8,25.1,26,6.8,36,20.8,0.9,2.13,0.67,2.8,66.5,0.1,23.6,79.4,0,59
43225,121.01627,24.766508,0.57,4.5,23.6,28.1,7.5,31,15,2.4,2.03,0.16,2.19,248,0.2,23.3,83.6,0,64
43225,120.989823,24.778,0.65,0.8,23.6,24.4,30.5,48,26,4.4,2.15,0.34,2.49,189,0.9,24.6,78.9,0,64
43225,121.01372,24.77834,0.78,0.9,19.6,28.1,14,30,21.7,0.4,2.2,0.66,2.86,308.3,0,24.2,79.3,0,64
43225.04167,121.01627,24.766508,0.51,2.7,16,18.7,17.4,37,23,1.8,2.11,0.13,2.24,181,0.2,22.9,87,0,74
43225.04167,120.989823,24.778,0.73,3.2,36.9,40.1,7.7,53,37,5.4,2.31,0.22,2.53,163,0.8,23.8,83.3,0,74
43225.04167,121.01372,24.77834,0.66,0.5,14.6,18.7,22.4,41,29.9,0.9,1.99,0.62,2.61,332.7,0.1,23.9,83.6,0,74
43225.08333,121.01627,24.766508,0.5,3.2,14.3,17.5,11.9,38,25,1.8,2.06,0.12,2.19,236,0.3,22.5,89.2,0,77
43225.08333,120.989823,24.778,0.7,2.3,31,33.3,17,65,36,6,2.17,0.34,2.51,172,0.8,23.6,85.1,0,77
43225.08333,121.01372,24.77834,0.7,0.3,17.5,17.5,18.5,44,29.9,1.1,2.02,0.59,2.61,290.5,0.1,23.4,87,0,77
43225.125,121.01627,24.766508,0.55,1.4,15.8,17.2,15,50,33,2,2.07,0.16,2.23,166,0.2,22.5,91.3,1,84
43225.125,120.989823,24.778,0.71,2.2,35,37.2,14.7,65,40,5.6,2.27,0.37,2.63,162,0.9,23.5,86.2,1,84
43225.125,121.01372,24.77834,0.73,0.4,17.7,17.2,16.9,58,38.1,1.3,1.98,0.59,2.57,216.2,0.2,23.6,86.6,1,84
43225.16667,121.01627,24.766508,0.54,0.7,14.6,15.3,24,56,33,2.4,2.12,0.14,2.26,162,0.2,22.7,90.8,0,76
43225.16667,120.989823,24.778,0.74,2.4,31.9,34.2,14.8,67,40,6.3,2.34,0.24,2.58,160,1,23.4,87.6,1,91
43225.16667,121.01372,24.77834,0.76,0.7,26.2,15.3,19.7,60,49,1.7,1.98,0.63,2.61,172.6,0.1,23.6,87.1,0,76
43225.20833,121.01627,24.766508,0.53,1.4,13.7,15,27.5,63,32,2,2.1,0.15,2.26,185,0.3,22.7,90.5,1,95
43225.20833,120.989823,24.778,0.69,1.1,27.8,28.9,26.9,75,41,5.5,2.34,0.28,2.62,179,0.6,23.4,86.9,1,95
43225.20833,121.01372,24.77834,0.71,0.6,22,15,23.5,63,47.2,1.1,2.03,0.59,2.62,134.9,0.1,23.4,88.3,1,95
43225.25,121.01627,24.766508,0.59,2.3,13.6,15.9,28,60,32,2.4,2.09,0.16,2.26,227,0.3,23.5,88.6,1,84
43225.25,120.989823,24.778,0.73,1.9,25.8,27.8,25.4,73,41,5.5,2.33,0.26,2.59,167,0.7,23.9,85.7,1,99
43225.25,121.01372,24.77834,0.64,0.8,13.5,15.9,35.6,58,35.3,1.8,1.95,0.54,2.49,269.2,0.1,24.2,83.9,1,84
43225.29167,121.01627,24.766508,0.58,2.7,13.8,16.5,32.7,57,25,3,2.1,0.17,2.27,234,0.8,24.9,83.4,1,82
43225.29167,120.989823,24.778,0.67,2.6,20.5,23.2,26.5,60,26,5.7,2.23,0.28,2.51,242,0.8,24.6,85.2,1,96
43225.29167,121.01372,24.77834,0.66,1.2,11.4,16.5,33.5,55,29.9,1.7,1.91,0.5,2.41,143.4,0.1,25.2,81.7,1,82
43225.33333,121.01627,24.766508,0.51,3.6,13.3,16.9,38.8,52,23,3.2,1.97,0.16,2.12,265,1.3,26.1,79.4,0,79
43225.33333,120.989823,24.778,0.54,1.3,8.8,10.1,41,44,14,5.7,2.1,0.19,2.29,290,1.7,25.6,81.4,1,89
43225.33333,121.01372,24.77834,0.6,2.4,12.7,16.9,37.8,47,23.5,1.3,1.87,0.41,2.28,269.5,0.5,26.5,76.9,0,79
43225.375,121.01627,24.766508,0.44,3.2,11,14.2,51.3,48,16,3.6,1.91,0.14,2.05,273,2.2,26.8,76.7,0,74
43225.375,120.989823,24.778,0.57,1.1,7.1,8.2,48.2,50,16,5.9,2.09,0.22,2.31,307,2,26.6,77.1,1,81
43225.375,121.01372,24.77834,0.54,1.2,6.8,14.2,50.4,46,19.9,1.9,1.81,0.48,2.29,317.7,0.8,27.5,73.8,0,74
43225.41667,121.01627,24.766508,0.48,2.6,13.1,15.8,61,54,23,3.7,2,0.13,2.12,272,2,26.9,75.4,0,70
43225.41667,120.989823,24.778,0.56,1,8.3,9.4,53.8,55,24,6.5,2.17,0.2,2.36,324,2.3,26.4,76.7,0,75
43225.41667,121.01372,24.77834,0.54,1.1,5.9,15.8,60.3,51,23.5,1.8,1.84,0.47,2.31,308.8,0.9,27.6,72.7,0,70
43225.45833,121.01627,24.766508,0.5,2.4,12.1,14.6,72.2,60,30,4.1,1.97,0.15,2.11,272,2.2,27.4,73.5,0,72
43225.45833,120.989823,24.778,0.58,0.9,8.1,8.9,65.2,55,24,6.1,2.16,0.21,2.36,322,1.8,26.9,74.3,0,74
43225.45833,121.01372,24.77834,0.58,1,6.3,14.6,70.4,50,27.1,2.1,1.88,0.47,2.35,316.1,1,28,71.2,0,72
43225.5,121.01627,24.766508,0.55,1.8,12.1,13.9,77.6,57,33,4.4,1.94,0.15,2.09,268,1.5,27.6,72,0,77
43225.5,120.989823,24.778,0.6,0.7,7.1,7.8,70,50,28,6.8,2.14,0.17,2.31,308,1.8,27.8,68.7,0,78
43225.5,121.01372,24.77834,0.6,0.8,5.4,13.9,78.7,54,28.1,2.3,1.87,0.43,2.3,306,0.7,28.4,67.8,0,77
43225.54167,121.01627,24.766508,0.47,1.2,7.2,8.4,82.1,49,24,4.2,1.97,0.13,2.09,291,1.7,28.7,66.1,0,80
43225.54167,120.989823,24.778,0.54,0.5,5,5.6,70.3,42,18,5.6,2.14,0.18,2.32,293,1.9,28.8,60.8,0,77
43225.54167,121.01372,24.77834,0.57,0.6,3.9,8.4,80.7,54,29.9,1.5,1.8,0.47,2.27,307.1,0.6,29.3,63.3,0,80
43225.58333,121.01627,24.766508,0.38,1.5,6.4,8,77.3,38,17,3.3,1.92,0.14,2.06,267,2.1,29.2,58,0,77
43225.58333,120.989823,24.778,0.46,0.4,4.1,4.5,64.8,29,16,5.3,2.13,0.17,2.3,315,2.2,29.3,50.6,0,72
43225.58333,121.01372,24.77834,0.49,0.6,3.9,8,73.1,33,18,0.9,1.82,0.45,2.27,302.8,0.9,30.1,53.1,0,77
43225.625,121.01627,24.766508,0.35,1.4,7.9,9.3,66.5,35,14,2,1.93,0.13,2.06,270,2.1,28.6,52.2,1,87
43225.625,120.989823,24.778,0.44,0.7,6.9,7.6,58.8,24,9,5.2,2.15,0.21,2.36,305,1.7,28.7,49.1,0,65
43225.625,121.01372,24.77834,0.47,0.8,5.5,9.3,66.1,31,23.5,0.9,1.81,0.47,2.28,307.3,0.7,29.4,51.9,1,87
43225.66667,121.01627,24.766508,0.35,1.9,12.7,14.6,56.7,35,17,2.9,1.99,0.13,2.13,264,1.6,28,47.8,1,94
43225.66667,120.989823,24.778,0.43,0.8,10.3,11.1,55,39,27,6.1,2.2,0.21,2.4,295,1.4,28,44,0,72
43225.66667,121.01372,24.77834,0.46,0.8,8.5,14.6,57.4,37,23.5,1.1,1.81,0.46,2.27,291.2,0.6,28.8,47.5,1,94
43225.70833,121.01627,24.766508,0.27,0.9,10.1,11,53.8,25,19,1.6,1.99,0.14,2.13,227,0.8,27.2,45.9,1,94
43225.70833,120.989823,24.778,0.44,0.5,10.1,10.6,56.1,24,11,5.1,2.24,0.19,2.42,291,1.5,27.4,42.1,0,75
43225.70833,121.01372,24.77834,0.41,0.7,11.3,11,54.4,34,12.6,0.6,1.8,0.46,2.26,251.3,0.3,28.2,39.8,1,94
43225.75,121.01627,24.766508,0.36,0.9,14.6,15.5,42.9,25,22,1.9,1.97,0.11,2.08,204,0.6,25.5,56,1,87
43225.75,120.989823,24.778,0.48,0.2,10.7,10.9,60.5,29,13,4.3,2.2,0.25,2.44,280,0.7,26.6,49.2,0,78
43225.79167,121.01627,24.766508,0.4,0.6,21,21.6,33.8,32,19,2.3,1.98,0.16,2.14,202,0.6,24.6,60.3,0,72
43225.79167,120.989823,24.778,0.52,0.2,19.7,19.9,48.2,25,14,4.1,2.18,0.24,2.42,181,0.6,26.2,51.1,0,69
43225.83333,121.01627,24.766508,0.42,0.5,18.3,18.8,41.8,33,18,3.1,1.97,0.14,2.1,138,0.2,24.5,62.6,0,62
43225.83333,120.989823,24.778,0.58,0.7,36,36.7,36,40,29,5.1,2.16,0.17,2.32,156,0.8,26.1,54.8,0,56
43225.83333,121.01372,24.77834,0.66,0.7,29.5,18.8,27.7,35,24.4,0.1,1.95,0.45,2.4,176.8,0.1,25.7,58.9,0,62
43225.875,121.01627,24.766508,0.43,0.7,19.3,20,34.9,38,24,3.1,1.97,0.16,2.13,195,0.6,24.6,67.8,0,64
43225.875,120.989823,24.778,0.65,1.4,37.5,38.9,29,50,32,5.1,2.17,0.16,2.33,164,1,25.7,62.6,0,64
43225.875,121.01372,24.77834,0.75,0.8,42,20,26.1,48,37.2,0.3,1.97,0.54,2.51,157.7,0.3,25.7,63.1,0,64
43225.91667,121.01627,24.766508,0.48,0.8,15.8,16.7,25.5,31,17,2.4,2,0.15,2.14,176,0.4,24.1,74.5,0,62
43225.91667,120.989823,24.778,0.61,2,39.7,41.7,26.1,46,34,4.6,2.19,0.19,2.38,156,1,25.7,61.7,0,72
43225.91667,121.01372,24.77834,0.76,3.1,52.5,16.7,10.9,46,37.2,0,1.97,0.55,2.52,152.1,0.2,25.3,67.4,0,62
43225.95833,121.01627,24.766508,0.47,0.9,17.7,18.6,23.3,39,22,2.1,1.99,0.19,2.18,240,0.8,24,78.1,0,78
43225.95833,120.989823,24.778,0.64,2.6,33.1,35.7,23.9,44,32,4.5,2.2,0.16,2.35,176,1,25.1,69.9,0,78
43225.95833,121.01372,24.77834,0.69,0.8,28.6,18.6,21.4,41,32.6,0.1,1.97,0.53,2.5,180.7,0.3,25.3,70.2,0,78
43226,121.01627,24.766508,0.42,0.5,9.3,9.9,28.3,36,18,3.1,1.96,0.16,2.12,262,0.4,23.9,81.5,0,61
43226,120.989823,24.778,0.63,1,22.9,23.8,32.9,42,24,3.9,2.14,0.2,2.33,168,1.2,24.9,72.2,0,76
43226,121.01372,24.77834,0.76,0.9,39.4,9.9,11.6,43,28.1,0.7,1.98,0.49,2.47,238,0.1,24.9,75.2,0,61
43226.04167,121.01627,24.766508,0.42,0.6,8.2,8.8,26.6,33,21,3.2,2.07,0.11,2.18,277,0.2,23.7,82.5,0,59
43226.04167,120.989823,24.778,0.64,0.8,25.6,26.4,31.2,38,26,3.3,2.17,0.16,2.32,161,1.2,25,71.6,0,75
43226.04167,121.01372,24.77834,0.68,0.8,28.1,8.8,15.9,36,29,0.9,1.78,0.55,2.33,298.7,0.1,24.7,76.8,0,59
